year,school_id,number_of_students,avg_score
2005,17033276,57,37.05
2006,17033276,52,35.71
2007,17033276,57,43.41
2005,17033292,32,35.66
2006,17033292,25,40.01
2007,17033292,27,41.43
2005,17033624,88,33.72
2006,17033624,107,32.59
2007,17033624,83,44.02
2005,17033705,56,40.5
2006,17033705,61,35.76
2007,17033705,37,45.28
2005,17033993,142,43.74
2006,17033993,162,38.17
2007,17033993,137,48.74
2005,17034027,107,35.66
2006,17034027,82,37.19
2007,17034027,115,43.7
2005,17034612,140,37.48
2006,17034612,131,43.22
2007,17034612,141,47.34
2005,17035163,37,31.37
2006,17035163,35,25.98
2007,17035163,57,35.55
2005,17035287,69,32.6
2006,17035287,73,32.5
2007,17035287,69,41.83
2005,17035848,105,28.89
2006,17035848,85,34.98
2007,17035848,70,47.26
2005,17036208,49,33.0
2006,17036208,42,36.67
2007,17036208,53,39.79
2005,17036577,73,28.73
2006,17036577,39,36.81
2007,17036577,55,42.42
2005,17036755,75,37.48
2006,17036755,65,32.58
2007,17036755,64,40.65
2005,17036917,67,33.13
2006,17036917,39,32.74
2007,17036917,35,38.62
2005,17037158,85,42.5
2006,17037158,132,37.49
2007,17037158,112,44.58
2005,17038120,37,61.33
2006,17038120,33,48.14
2007,17038120,34,66.25
2005,17038626,147,57.63
2006,17038626,156,59.62
2007,17038626,131,69.35
2005,17038715,170,36.06
2006,17038715,151,31.95
2007,17038715,124,40.91
2005,17039436,38,39.59
2006,17039436,44,37.05
2007,17039436,38,51.06
2005,17040116,72,33.14
2006,17040116,70,31.7
2007,17040116,64,44.65
2005,17043972,18,57.78
2006,17043972,31,58.8
2007,17043972,24,65.66
2005,17044901,47,53.14
2006,17044901,63,49.47
2007,17044901,37,60.63
2005,17046270,227,37.79
2006,17046270,226,38.66
2007,17046270,223,44.64
2005,17046807,96,64.27
2006,17046807,107,59.39
2007,17046807,98,69.89
2005,17047439,249,39.18
2006,17047439,252,38.99
2007,17047439,253,44.52
2005,17048826,46,34.62
2006,17048826,41,35.98
2007,17048826,39,41.58
2005,17050294,329,37.95
2006,17050294,446,38.15
2007,17050294,372,48.25
2005,17050715,327,39.94
2006,17050715,365,36.23
2007,17050715,359,43.28
2005,17052050,157,40.96
2006,17052050,172,32.93
2007,17052050,171,41.8
2005,21001901,122,38.8
2006,21001901,123,35.35
2007,21001901,133,47.61
2005,21003173,339,39.07
2006,21003173,386,33.65
2007,21003173,466,44.87
2005,21004447,139,38.81
2006,21004447,115,37.4
2007,21004447,100,45.8
2005,21004455,55,36.89
2006,21004455,80,31.25
2007,21004455,100,41.73
2005,21005990,49,32.79
2006,21005990,69,37.02
2007,21005990,82,35.54
2005,21006032,124,39.84
2006,21006032,184,35.62
2007,21006032,207,48.56
2005,21007357,173,43.09
2006,21007357,178,35.7
2007,21007357,104,46.67
2005,21007446,604,39.25
2006,21007446,474,37.62
2007,21007446,499,47.33
2005,21007454,142,33.87
2006,21007454,136,30.23
2007,21007454,157,38.74
2005,21008680,301,38.06
2006,21008680,220,34.54
2007,21008680,126,49.01
2005,21008779,420,37.38
2006,21008779,403,38.06
2007,21008779,296,38.69
2005,21009473,116,40.19
2006,21009473,151,37.15
2007,21009473,170,45.58
2005,21009783,477,37.36
2006,21009783,378,37.01
2007,21009783,311,49.22
2005,21009805,689,42.36
2006,21009805,593,39.13
2007,21009805,403,48.61
2005,21009848,888,51.28
2006,21009848,922,47.98
2007,21009848,813,57.06
2005,21009864,493,39.27
2006,21009864,384,35.92
2007,21009864,507,46.23
2005,21009872,762,38.11
2006,21009872,725,36.34
2007,21009872,694,45.8
2005,21009902,168,70.45
2006,21009902,149,62.94
2007,21009902,131,73.23
2005,21010064,155,61.9
2006,21010064,209,57.2
2007,21010064,214,68.01
2005,21010102,696,40.94
2006,21010102,469,37.99
2007,21010102,451,48.72
2005,21010129,299,40.47
2006,21010129,107,30.67
2007,21010129,151,45.76
2005,21010250,391,60.92
2006,21010250,444,51.61
2007,21010250,341,61.82
2005,21010331,199,68.37
2006,21010331,221,56.36
2007,21010331,154,71.12
2005,21011052,143,60.27
2006,21011052,149,61.55
2007,21011052,139,66.66
2005,21011125,539,41.43
2006,21011125,508,39.19
2007,21011125,467,50.69
2005,21011133,918,41.97
2006,21011133,1310,39.98
2007,21011133,1077,50.18
2005,21013837,96,64.08
2006,21013837,104,51.85
2007,21013837,98,57.2
2005,21013926,684,40.42
2006,21013926,632,37.21
2007,21013926,424,49.72
2005,21015023,269,42.45
2006,21015023,244,39.36
2007,21015023,280,49.53
2005,21016690,206,37.05
2006,21016690,173,34.51
2007,21016690,183,46.89
2005,21016933,340,42.15
2006,21016933,359,40.84
2007,21016933,398,51.73
2005,21017093,393,39.7
2006,21017093,592,40.09
2007,21017093,277,48.06
2005,21017107,247,38.07
2006,21017107,273,34.22
2007,21017107,259,44.57
2005,21017115,617,39.44
2006,21017115,739,38.66
2007,21017115,556,50.27
2005,21017123,567,38.57
2006,21017123,427,37.51
2007,21017123,434,45.32
2005,21017212,488,37.76
2006,21017212,446,36.13
2007,21017212,235,45.76
2005,21017387,166,62.92
2006,21017387,167,51.68
2007,21017387,197,66.19
2005,21019649,962,44.96
2006,21019649,1095,41.98
2007,21019649,1139,52.2
2005,21021015,306,41.66
2006,21021015,196,39.88
2007,21021015,273,48.61
2005,21021171,122,39.9
2006,21021171,190,37.48
2007,21021171,195,46.89
2005,21021643,135,32.55
2006,21021643,188,34.86
2007,21021643,231,48.53
2005,21021872,440,41.33
2006,21021872,449,37.46
2007,21021872,456,48.09
2005,21021910,707,39.81
2006,21021910,681,38.17
2007,21021910,474,46.04
2005,21021953,185,39.46
2006,21021953,132,40.23
2007,21021953,53,53.58
2005,21022089,195,38.3
2006,21022089,149,40.21
2007,21022089,167,47.39
2005,21026203,109,35.79
2006,21026203,147,38.11
2007,21026203,162,46.82
2005,21026211,676,42.5
2006,21026211,323,33.48
2007,21026211,270,44.94
2005,21037680,122,42.56
2006,21037680,122,43.27
2007,21037680,126,48.22
2005,21038988,104,33.75
2006,21038988,89,36.67
2007,21038988,95,45.11
2005,21041504,182,35.25
2006,21041504,112,29.1
2007,21041504,193,42.01
2005,21044813,84,50.65
2006,21044813,81,45.47
2007,21044813,63,54.26
2005,21046069,182,47.1
2006,21046069,193,47.46
2007,21046069,185,55.04
2005,21046638,197,38.96
2006,21046638,180,40.75
2007,21046638,116,46.42
2005,21046662,516,39.05
2006,21046662,400,36.59
2007,21046662,403,50.05
2005,21046719,70,34.47
2006,21046719,187,35.32
2007,21046719,194,46.43
2005,21049351,181,37.08
2006,21049351,150,42.05
2007,21049351,154,47.12
2005,21050538,105,40.45
2006,21050538,116,35.84
2007,21050538,42,44.46
2005,21051780,336,37.65
2006,21051780,326,33.93
2007,21051780,350,47.31
2005,21051798,92,42.5
2006,21051798,48,36.23
2007,21051798,48,51.37
2005,21057362,431,35.16
2006,21057362,420,35.18
2007,21057362,426,41.27
2005,21059128,93,25.15
2006,21059128,153,31.84
2007,21059128,182,41.84
2005,21059721,124,33.58
2006,21059721,60,32.11
2007,21059721,85,41.02
2005,21064024,306,37.27
2006,21064024,252,39.31
2007,21064024,135,40.34
2005,21073805,250,36.24
2006,21073805,250,30.09
2007,21073805,227,42.89
2005,21077720,339,36.04
2006,21077720,341,35.53
2007,21077720,222,46.31
2005,21078564,225,36.62
2006,21078564,183,35.94
2007,21078564,176,45.1
2005,21078572,225,37.07
2006,21078572,250,34.35
2007,21078572,299,48.21
2005,21081646,161,37.29
2006,21081646,150,34.62
2007,21081646,186,46.06
2005,21081727,124,37.46
2006,21081727,98,42.15
2007,21081727,102,47.72
2005,21085064,75,38.38
2006,21085064,83,36.35
2007,21085064,92,44.76
2005,21085161,125,40.02
2006,21085161,116,40.71
2007,21085161,117,49.97
2005,21088110,297,38.41
2006,21088110,194,38.49
2007,21088110,116,49.36
2005,21088179,404,41.44
2006,21088179,323,37.83
2007,21088179,291,45.09
2005,21092273,103,40.15
2006,21092273,147,33.4
2007,21092273,218,42.53
2005,21092346,246,37.92
2006,21092346,222,37.35
2007,21092346,168,48.56
2005,21092354,151,41.34
2006,21092354,196,40.45
2007,21092354,224,50.05
2005,21092370,275,42.68
2006,21092370,381,40.68
2007,21092370,410,50.15
2005,21092389,631,42.18
2006,21092389,511,39.01
2007,21092389,380,50.06
2005,21092419,40,52.69
2006,21092419,39,50.51
2007,21092419,27,61.58
2005,21092680,80,53.96
2006,21092680,62,53.87
2007,21092680,68,59.61
2005,21092699,611,40.05
2006,21092699,482,39.92
2007,21092699,372,50.84
2005,21092710,170,39.76
2006,21092710,169,34.19
2007,21092710,209,46.22
2005,21092729,127,38.01
2006,21092729,130,38.64
2007,21092729,177,44.92
2005,21092761,134,60.67
2006,21092761,129,55.1
2007,21092761,116,56.66
2005,21092770,124,42.14
2006,21092770,117,37.19
2007,21092770,180,44.62
2005,21092869,86,43.17
2006,21092869,79,43.85
2007,21092869,79,53.37
2005,21093350,170,38.49
2006,21093350,206,39.13
2007,21093350,239,44.74
2005,21093660,121,39.93
2006,21093660,152,38.16
2007,21093660,175,48.33
2005,21093733,179,39.66
2006,21093733,170,40.16
2007,21093733,188,49.74
2005,21094594,75,32.52
2006,21094594,104,33.4
2007,21094594,130,46.78
2005,21095450,74,37.22
2006,21095450,120,40.39
2007,21095450,143,44.06
2005,21095523,157,36.24
2006,21095523,158,35.52
2007,21095523,177,50.02
2005,21095531,69,37.96
2006,21095531,112,30.5
2007,21095531,135,46.66
2005,21095663,107,56.73
2006,21095663,114,50.43
2007,21095663,108,61.79
2005,21095752,89,62.52
2006,21095752,80,55.86
2007,21095752,83,67.53
2005,21095981,307,41.47
2006,21095981,304,38.94
2007,21095981,303,51.34
2005,21096007,113,37.49
2006,21096007,88,37.88
2007,21096007,87,44.28
2005,21096040,95,36.28
2006,21096040,104,31.51
2007,21096040,91,45.98
2005,21096058,44,39.69
2006,21096058,76,39.45
2007,21096058,65,50.71
2005,21096112,48,34.54
2006,21096112,26,26.89
2007,21096112,26,43.74
2005,21096120,62,40.54
2006,21096120,78,37.91
2007,21096120,69,46.85
2005,21096147,57,37.75
2006,21096147,46,40.67
2007,21096147,69,44.16
2005,21097682,99,37.39
2006,21097682,92,38.24
2007,21097682,94,48.29
2005,21097747,157,45.62
2006,21097747,143,40.95
2007,21097747,146,48.59
2005,21099049,84,37.18
2006,21099049,78,37.91
2007,21099049,69,50.47
2005,21099111,314,37.96
2006,21099111,270,36.42
2007,21099111,291,44.26
2005,21099855,120,38.45
2006,21099855,160,34.1
2007,21099855,193,44.34
2005,21100640,238,42.32
2006,21100640,115,39.24
2007,21100640,93,43.76
2005,21101485,54,42.97
2006,21101485,64,38.27
2007,21101485,63,45.43
2005,21103321,125,37.0
2006,21103321,98,33.1
2007,21103321,103,43.57
2005,21103402,66,38.68
2006,21103402,92,31.93
2007,21103402,76,38.78
2005,21105901,161,41.93
2006,21105901,112,38.04
2007,21105901,134,43.9
2005,21107157,404,40.73
2006,21107157,365,35.74
2007,21107157,264,45.59
2005,21107203,174,43.05
2006,21107203,185,33.46
2007,21107203,224,40.46
2005,21110069,118,39.3
2006,21110069,103,48.09
2007,21110069,83,51.82
2005,21111561,94,34.38
2006,21111561,126,35.56
2007,21111561,89,43.02
2005,21112398,332,38.74
2006,21112398,324,32.83
2007,21112398,260,45.2
2005,21114218,242,38.46
2006,21114218,69,34.53
2007,21114218,146,41.85
2005,21114234,316,40.17
2006,21114234,294,32.38
2007,21114234,179,45.58
2005,21118655,197,36.68
2006,21118655,128,35.5
2007,21118655,118,45.97
2005,21124639,135,37.57
2006,21124639,97,31.0
2007,21124639,94,43.0
2005,21126607,286,42.74
2006,21126607,151,34.02
2007,21126607,155,42.88
2005,21127328,180,41.58
2006,21127328,135,41.31
2007,21127328,133,46.17
2005,21129282,118,38.44
2006,21129282,122,35.28
2007,21129282,110,48.68
2005,21130485,43,44.41
2006,21130485,43,42.05
2007,21130485,51,46.38
2005,21131422,360,36.96
2006,21131422,380,36.99
2007,21131422,360,48.74
2005,21131970,196,40.94
2006,21131970,203,35.5
2007,21131970,283,49.95
2005,21136262,181,28.77
2006,21136262,165,32.13
2007,21136262,100,40.21
2005,21136904,115,31.41
2006,21136904,64,33.17
2007,21136904,60,44.96
2005,21138192,169,28.86
2006,21138192,189,31.68
2007,21138192,240,39.06
2005,21139652,650,42.41
2006,21139652,452,35.44
2007,21139652,360,49.02
2005,21145520,740,41.71
2006,21145520,381,41.52
2007,21145520,461,44.76
2005,21148910,338,36.98
2006,21148910,283,33.46
2007,21148910,253,50.0
2005,21148953,270,43.95
2006,21148953,158,34.61
2007,21148953,150,42.94
2005,21148996,199,43.69
2006,21148996,111,45.19
2007,21148996,87,54.74
2005,21151482,185,38.52
2006,21151482,288,37.04
2007,21151482,280,40.72
2005,21152900,135,33.51
2006,21152900,116,33.03
2007,21152900,88,47.47
2005,21152950,176,39.49
2006,21152950,277,34.42
2007,21152950,185,46.73
2005,21153124,35,44.78
2006,21153124,35,46.35
2007,21153124,12,59.65
2005,21153922,246,37.3
2006,21153922,214,32.21
2007,21153922,133,44.77
2005,21154597,93,34.83
2006,21154597,117,33.49
2007,21154597,191,39.45
2005,21154619,113,37.12
2006,21154619,86,37.83
2007,21154619,65,46.97
2005,21155682,168,36.52
2006,21155682,106,32.27
2007,21155682,117,39.68
2005,21155755,291,39.34
2006,21155755,323,38.36
2007,21155755,255,48.92
2005,21155771,448,39.23
2006,21155771,378,36.94
2007,21155771,367,46.36
2005,21155844,48,58.33
2006,21155844,60,54.36
2007,21155844,43,61.6
2005,21156026,23,44.79
2006,21156026,24,41.75
2007,21156026,31,55.18
2005,21159580,115,45.81
2006,21159580,143,42.62
2007,21159580,167,51.39
2005,21160015,98,38.57
2006,21160015,132,37.09
2007,21160015,123,48.35
2005,21160040,373,41.49
2006,21160040,334,37.78
2007,21160040,269,49.27
2005,21160058,117,37.21
2006,21160058,161,36.95
2007,21160058,116,47.13
2005,21160066,73,45.3
2006,21160066,142,36.61
2007,21160066,107,51.12
2005,21161321,167,40.97
2006,21161321,196,37.5
2007,21161321,269,46.44
2005,21162565,233,41.93
2006,21162565,196,41.53
2007,21162565,137,52.11
2005,21164495,231,38.5
2006,21164495,220,38.45
2007,21164495,330,47.77
2005,21164924,99,39.09
2006,21164924,82,41.96
2007,21164924,143,49.56
2005,21167109,81,37.51
2006,21167109,179,31.71
2007,21167109,186,41.25
2005,21167117,173,40.64
2006,21167117,64,35.93
2007,21167117,143,48.68
2005,21167141,136,32.49
2006,21167141,142,34.35
2007,21167141,124,42.41
2005,21171033,76,37.19
2006,21171033,118,33.7
2007,21171033,85,39.58
2005,21171050,98,37.73
2006,21171050,64,38.26
2007,21171050,47,46.03
2005,21173435,264,39.31
2006,21173435,299,37.47
2007,21173435,315,47.87
2005,21174148,250,43.9
2006,21174148,185,44.49
2007,21174148,156,52.68
2005,21175632,92,37.66
2006,21175632,127,39.12
2007,21175632,106,47.83
2005,21177376,98,30.3
2006,21177376,103,35.93
2007,21177376,157,44.89
2005,21180350,46,27.68
2006,21180350,45,34.18
2007,21180350,96,44.58
2005,21180393,263,41.27
2006,21180393,189,42.6
2007,21180393,156,52.06
2005,21182434,66,53.74
2006,21182434,96,52.14
2007,21182434,88,58.74
2005,21184259,148,38.95
2006,21184259,157,37.92
2007,21184259,145,50.15
2005,21184305,64,36.47
2006,21184305,54,34.11
2007,21184305,84,43.85
2005,21186898,68,40.83
2006,21186898,86,39.8
2007,21186898,80,47.36
2005,21187703,75,34.8
2006,21187703,159,31.45
2007,21187703,108,43.28
2005,21188335,28,35.63
2006,21188335,27,29.54
2007,21188335,27,40.44
2005,21189692,146,40.04
2006,21189692,106,39.09
2007,21189692,66,49.93
2005,21195534,37,63.37
2006,21195534,73,59.7
2007,21195534,40,70.37
2005,21198934,226,38.81
2006,21198934,231,32.67
2007,21198934,221,48.68
2005,21199053,185,56.0
2006,21199053,155,46.31
2007,21199053,124,62.02
2005,21199090,98,69.96
2006,21199090,132,61.41
2007,21199090,122,74.19
2005,21199365,223,38.39
2006,21199365,230,39.29
2007,21199365,219,43.45
2005,21199383,85,42.98
2006,21199383,89,36.22
2007,21199383,84,44.57
2005,21199489,234,37.63
2006,21199489,206,36.09
2007,21199489,197,45.61
2005,21205183,135,34.29
2006,21205183,150,34.59
2007,21205183,168,41.7
2005,21218161,78,43.51
2006,21218161,62,45.03
2007,21218161,48,51.18
2005,21219478,311,40.41
2006,21219478,201,37.3
2007,21219478,227,48.17
2005,21219516,388,40.15
2006,21219516,295,34.43
2007,21219516,262,45.8
2005,21225621,204,39.95
2006,21225621,133,34.21
2007,21225621,182,45.91
2005,21225672,388,37.58
2006,21225672,267,37.21
2007,21225672,168,48.32
2005,21228353,443,39.36
2006,21228353,347,33.53
2007,21228353,374,47.96
2005,21234256,198,36.93
2006,21234256,166,36.51
2007,21234256,258,45.69
2005,21234400,328,39.12
2006,21234400,346,35.49
2007,21234400,416,46.81
2005,21240280,204,38.48
2006,21240280,153,37.78
2007,21240280,223,44.71
2005,21248451,261,39.6
2006,21248451,271,36.04
2007,21248451,150,43.94
2005,21248478,142,53.71
2006,21248478,133,55.5
2007,21248478,90,59.45
2005,21249911,22,49.86
2006,21249911,33,53.27
2007,21249911,45,54.41
2005,21250529,137,36.04
2006,21250529,151,35.48
2007,21250529,209,37.57
2005,21251274,42,38.15
2006,21251274,47,40.35
2007,21251274,58,44.07
2005,21251355,253,29.98
2006,21251355,256,25.51
2007,21251355,274,40.14
2005,21252815,40,29.74
2006,21252815,67,24.98
2007,21252815,30,39.04
2005,21254184,26,48.34
2006,21254184,31,43.57
2007,21254184,57,63.47
2005,21257582,235,40.13
2006,21257582,192,32.9
2007,21257582,235,45.4
2005,21258937,34,43.33
2006,21258937,95,36.48
2007,21258937,118,46.67
2005,22000046,32,51.51
2006,22000046,28,52.76
2007,22000046,29,61.35
2005,22001530,235,38.5
2006,22001530,135,40.45
2007,22001530,201,46.75
2005,22002049,179,36.67
2006,22002049,155,36.35
2007,22002049,230,38.9
2005,22003452,115,34.14
2006,22003452,101,36.1
2007,22003452,115,39.22
2005,22004777,167,28.42
2006,22004777,109,35.95
2007,22004777,49,39.17
2005,22004815,296,40.41
2006,22004815,244,40.63
2007,22004815,278,45.94
2005,22004823,146,35.68
2006,22004823,201,37.06
2007,22004823,112,47.36
2005,22008772,154,34.29
2006,22008772,153,35.95
2007,22008772,138,41.93
2005,22010254,155,33.18
2006,22010254,139,39.0
2007,22010254,183,42.18
2005,22010467,91,50.63
2006,22010467,122,47.15
2007,22010467,163,53.59
2005,22010483,119,35.36
2006,22010483,134,30.77
2007,22010483,88,43.45
2005,22010572,342,41.07
2006,22010572,372,39.29
2007,22010572,349,45.26
2005,22014373,185,38.34
2006,22014373,171,38.86
2007,22014373,150,47.54
2005,22014543,69,66.13
2006,22014543,54,60.04
2007,22014543,62,65.53
2005,22015701,98,53.73
2006,22015701,113,56.2
2007,22015701,61,69.85
2005,22015752,56,37.08
2006,22015752,83,37.3
2007,22015752,128,44.72
2005,22015892,275,39.01
2006,22015892,269,34.69
2007,22015892,288,46.77
2005,22015930,47,52.67
2006,22015930,49,43.06
2007,22015930,44,62.78
2005,22016724,294,40.88
2006,22016724,271,38.35
2007,22016724,367,46.04
2005,22021868,140,42.04
2006,22021868,181,39.86
2007,22021868,83,49.59
2005,22022007,190,41.96
2006,22022007,201,32.6
2007,22022007,190,42.61
2005,22022040,136,37.98
2006,22022040,227,37.4
2007,22022040,262,44.72
2005,22022376,681,44.26
2006,22022376,727,42.35
2007,22022376,674,50.31
2005,22022406,21,68.77
2006,22022406,21,71.72
2007,22022406,18,78.0
2005,22022481,213,71.85
2006,22022481,176,66.22
2007,22022481,182,75.42
2005,22022503,116,73.73
2006,22022503,106,67.43
2007,22022503,100,76.47
2005,22022902,37,49.77
2006,22022902,39,49.51
2007,22022902,29,57.81
2005,22023224,241,66.38
2006,22023224,206,60.04
2007,22023224,184,71.04
2005,22023658,52,74.02
2006,22023658,84,67.5
2007,22023658,48,78.93
2005,22025278,81,68.03
2006,22025278,72,56.45
2007,22025278,74,67.75
2005,22025383,31,60.26
2006,22025383,43,57.91
2007,22025383,46,66.46
2005,22025391,60,71.8
2006,22025391,70,67.74
2007,22025391,73,72.81
2005,22025715,97,66.68
2006,22025715,60,66.2
2007,22025715,66,74.77
2005,22025740,137,76.86
2006,22025740,103,74.71
2007,22025740,144,79.52
2005,22026037,113,51.66
2006,22026037,80,48.49
2007,22026037,123,56.91
2005,22026924,245,41.11
2006,22026924,190,37.77
2007,22026924,142,50.47
2005,22027173,80,63.08
2006,22027173,67,55.76
2007,22027173,44,62.37
2005,22027262,288,41.29
2006,22027262,257,36.63
2007,22027262,214,46.3
2005,22027360,127,40.99
2006,22027360,90,37.66
2007,22027360,86,47.93
2005,22027475,197,41.13
2006,22027475,198,35.39
2007,22027475,212,44.42
2005,22027483,330,43.83
2006,22027483,265,41.38
2007,22027483,286,50.6
2005,22027602,41,34.09
2006,22027602,92,33.41
2007,22027602,66,39.12
2005,22027610,238,39.01
2006,22027610,289,37.74
2007,22027610,266,46.39
2005,22027653,167,34.72
2006,22027653,145,31.5
2007,22027653,64,39.72
2005,22027661,186,41.76
2006,22027661,188,39.48
2007,22027661,166,47.64
2005,22027718,78,28.65
2006,22027718,67,34.55
2007,22027718,106,48.17
2005,22027726,170,37.33
2006,22027726,157,37.1
2007,22027726,133,42.9
2005,22027742,196,39.67
2006,22027742,127,38.07
2007,22027742,52,46.54
2005,22027807,135,38.01
2006,22027807,153,32.59
2007,22027807,120,44.36
2005,22027904,67,41.51
2006,22027904,92,38.23
2007,22027904,114,44.98
2005,22027963,146,37.43
2006,22027963,253,39.23
2007,22027963,123,39.37
2005,22028137,345,37.22
2006,22028137,353,36.43
2007,22028137,282,45.13
2005,22028358,65,40.29
2006,22028358,130,34.29
2007,22028358,201,46.07
2005,22028366,416,37.67
2006,22028366,418,38.9
2007,22028366,236,48.41
2005,22028455,492,40.05
2006,22028455,448,37.49
2007,22028455,275,45.07
2005,22028560,428,39.59
2006,22028560,332,36.31
2007,22028560,373,43.63
2005,22028609,146,38.72
2006,22028609,70,39.23
2007,22028609,105,43.87
2005,22028790,104,54.29
2006,22028790,67,47.84
2007,22028790,67,58.09
2005,22028897,33,51.06
2006,22028897,22,53.49
2007,22028897,21,58.73
2005,22028900,111,40.07
2006,22028900,97,36.64
2007,22028900,90,45.7
2005,22029044,285,38.08
2006,22029044,260,33.24
2007,22029044,259,41.04
2005,22029087,98,36.66
2006,22029087,82,33.36
2007,22029087,54,43.77
2005,22029095,222,61.5
2006,22029095,371,51.83
2007,22029095,114,63.53
2005,22030204,303,37.4
2006,22030204,332,35.04
2007,22030204,296,41.44
2005,22031570,137,40.7
2006,22031570,149,31.26
2007,22031570,138,40.77
2005,22031804,57,34.9
2006,22031804,42,41.26
2007,22031804,56,46.62
2005,22032312,85,49.2
2006,22032312,87,47.22
2007,22032312,56,55.9
2005,22034056,70,30.24
2006,22034056,93,29.31
2007,22034056,84,42.9
2005,22035320,101,37.17
2006,22035320,83,32.0
2007,22035320,53,40.77
2005,22035583,216,33.88
2006,22035583,197,35.97
2007,22035583,199,47.04
2005,22038086,21,37.05
2006,22038086,65,34.41
2007,22038086,44,40.69
2005,22041621,214,38.8
2006,22041621,151,36.71
2007,22041621,161,46.25
2005,22042385,163,32.19
2006,22042385,202,32.17
2007,22042385,191,36.32
2005,22043438,56,29.03
2006,22043438,44,30.49
2007,22043438,50,39.27
2005,22045910,79,36.66
2006,22045910,91,31.59
2007,22045910,65,48.95
2005,22046755,77,34.62
2006,22046755,81,33.4
2007,22046755,52,43.84
2005,22047484,149,37.31
2006,22047484,103,35.85
2007,22047484,68,48.78
2005,22048456,226,41.04
2006,22048456,198,38.58
2007,22048456,193,44.01
2005,22053484,191,32.67
2006,22053484,235,32.39
2007,22053484,234,41.35
2005,22054766,28,33.93
2006,22054766,26,32.84
2007,22054766,26,39.67
2005,22054820,57,37.7
2006,22054820,60,32.52
2007,22054820,49,43.38
2005,22054987,52,35.68
2006,22054987,66,35.25
2007,22054987,86,40.07
2005,22055380,41,39.02
2006,22055380,33,37.65
2007,22055380,52,44.06
2005,22056025,52,38.8
2006,22056025,42,30.3
2007,22056025,49,43.19
2005,22056297,79,34.01
2006,22056297,51,29.78
2007,22056297,56,45.76
2005,22057498,302,37.75
2006,22057498,268,37.49
2007,22057498,294,46.45
2005,22058095,135,27.3
2006,22058095,159,28.79
2007,22058095,174,36.5
2005,22058150,76,35.08
2006,22058150,138,30.55
2007,22058150,95,36.72
2005,22058346,59,42.47
2006,22058346,47,40.51
2007,22058346,46,45.91
2005,22058648,53,34.69
2006,22058648,120,34.17
2007,22058648,124,42.84
2005,22059326,83,31.98
2006,22059326,92,38.43
2007,22059326,68,47.8
2005,22059920,101,32.43
2006,22059920,109,33.36
2007,22059920,95,45.32
2005,22062068,111,37.73
2006,22062068,63,38.61
2007,22062068,33,48.19
2005,22062610,142,30.14
2006,22062610,135,31.03
2007,22062610,197,38.21
2005,22062661,74,32.89
2006,22062661,125,23.51
2007,22062661,81,36.64
2005,22062670,81,31.33
2006,22062670,81,31.67
2007,22062670,53,34.46
2005,22064249,65,33.93
2006,22064249,113,31.1
2007,22064249,105,40.34
2005,22066535,174,38.22
2006,22066535,120,34.62
2007,22066535,119,42.45
2005,22067671,240,44.88
2006,22067671,222,38.49
2007,22067671,155,43.28
2005,22070354,81,34.35
2006,22070354,89,35.33
2007,22070354,79,40.99
2005,22071440,66,33.76
2006,22071440,65,33.98
2007,22071440,77,39.5
2005,22072292,379,35.06
2006,22072292,250,34.65
2007,22072292,235,43.28
2005,22072500,240,31.44
2006,22072500,77,26.91
2007,22072500,58,43.33
2005,22073418,32,36.55
2006,22073418,34,38.05
2007,22073418,44,40.38
2005,22074996,32,42.15
2006,22074996,30,48.88
2007,22074996,24,54.68
2005,22076581,112,36.56
2006,22076581,98,39.15
2007,22076581,85,43.34
2005,22077421,117,33.15
2006,22077421,139,28.33
2007,22077421,89,37.37
2005,22077804,80,34.42
2006,22077804,70,31.74
2007,22077804,83,43.05
2005,22078355,73,41.81
2006,22078355,48,43.32
2007,22078355,57,50.44
2005,22080333,182,40.66
2006,22080333,226,39.09
2007,22080333,239,47.35
2005,22080520,77,55.89
2006,22080520,100,62.21
2007,22080520,134,66.36
2005,22081615,26,50.77
2006,22081615,33,51.24
2007,22081615,33,60.82
2005,22082298,93,41.04
2006,22082298,147,35.71
2007,22082298,73,43.33
2005,22082654,45,45.48
2006,22082654,72,40.52
2007,22082654,52,43.82
2005,22083189,42,37.41
2006,22083189,52,38.61
2007,22083189,41,44.13
2005,22084304,60,42.41
2006,22084304,57,39.25
2007,22084304,64,45.83
2005,22085068,66,38.69
2006,22085068,46,36.98
2007,22085068,41,46.75
2005,22086528,93,38.92
2006,22086528,154,38.26
2007,22086528,211,45.28
2005,22086951,46,38.56
2006,22086951,60,40.93
2007,22086951,48,47.97
2005,22088814,71,42.22
2006,22088814,100,39.42
2007,22088814,144,51.3
2005,22093249,51,41.54
2006,22093249,44,42.86
2007,22093249,55,45.79
2005,22093354,110,34.21
2006,22093354,111,32.52
2007,22093354,92,42.85
2005,22095020,49,42.04
2006,22095020,44,33.15
2007,22095020,48,43.76
2005,22095225,95,34.56
2006,22095225,66,31.17
2007,22095225,72,39.74
2005,22098704,221,33.48
2006,22098704,149,31.04
2007,22098704,124,45.65
2005,22099476,58,36.06
2006,22099476,61,36.95
2007,22099476,53,49.07
2005,22100083,216,39.59
2006,22100083,129,39.42
2007,22100083,208,42.11
2005,22100717,161,35.84
2006,22100717,156,38.38
2007,22100717,148,39.52
2005,22102612,116,37.94
